City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,suwannaphum,15.6035,103.8021,297.51,79,45,4.63,TH,1699815032
250,ust-nera,64.5667,143.2,248.89,99,100,0.95,RU,1699815032
251,hasaki,35.7333,140.8333,281.37,82,79,10.68,JP,1699815032
252,mazatlan,23.2167,-106.4167,299.21,74,75,4.12,MX,1699814792
253,lorengau,-2.0226,147.2712,299.15,80,95,2.29,PG,1699815032
254,north bend,43.4065,-124.2243,288.1,88,0,2.57,US,1699815033
255,puerto deseado,-47.7503,-65.8938,283.2,42,69,10.29,AR,1699815033
256,hadibu,12.65,54.0333,300.08,82,44,5.94,YE,1699815033
257,whitehorse,60.7161,-135.0538,271.58,86,100,4.63,CA,1699815033
258,tsiombe,-25.3,45.4833,295.43,75,0,1.87,MG,1699815033
259,maragogi,-9.0122,-35.2225,300.29,62,1,4.88,BR,1699815034
260,baiti,13.745,-14.7482,305.31,19,100,2.09,SN,1699815034
261,bafoulabe,13.8065,-10.8321,305.86,15,87,2.19,ML,1699814770
262,hincesti,46.8258,28.5936,280.91,82,91,3.35,MD,1699815034
263,gadzhiyevo,69.2551,33.3362,265.24,98,90,4.65,RU,1699815035
264,katima mulilo,-17.5,24.2667,301.46,21,4,1.4,NA,1699815035
265,lebanon,36.2081,-86.2911,293.51,42,0,0.89,US,1699814946
266,kangding,30.0513,101.9603,277.8,79,51,1.42,CN,1699815035
267,hiratacho,35.4333,132.8167,281.16,85,100,3.67,JP,1699815036
268,bodo,67.28,14.405,272.47,60,0,11.83,NO,1699815036
269,mendi,-6.1761,143.6513,282.67,95,24,1.74,PG,1699815036
270,geraldton,-28.7667,114.6,292.38,77,0,5.14,AU,1699815036
271,dunedin,-45.8742,170.5036,286.92,69,100,3.61,NZ,1699814872
272,kandy,7.2955,80.6356,294.36,96,100,1.17,LK,1699815037
273,tukrah,32.5341,20.5791,294.33,72,100,2.64,LY,1699815037
